device_id,imei_hash,sim_slot_count,accounts_per_device,ip_geolocation,is_emulator_or_rooted,first_seen,last_seen
DEV000081,IMEI781234056735,1,1,Karnataka,0,2023-04-15,2024-07-24
DEV000082,IMEI347472781301,1,1,Karnataka,0,2023-04-01,2024-03-26
DEV000083,IMEI848855572313,1,1,Gujarat,0,2023-10-15,2024-01-15
DEV000084,IMEI290853106390,1,1,Telangana,0,2023-10-28,2024-04-18
DEV000085,IMEI289864975756,1,1,Rajasthan,1,2023-02-12,2024-05-12
DEV000086,IMEI337685172269,1,1,Tamil Nadu,0,2023-02-19,2024-01-06
DEV000087,IMEI533628895348,1,1,Maharashtra,0,2023-06-12,2024-09-28
DEV000088,IMEI534868170013,1,1,Gujarat,0,2023-09-09,2024-03-24
DEV000089,IMEI46316676053,1,1,Andhra Pradesh,0,2023-07-07,2024-05-16
DEV000090,IMEI299367465672,1,1,Delhi,0,2023-03-30,2024-10-25
DEV000091,IMEI917528104816,1,1,Andhra Pradesh,1,2023-08-28,2024-05-16
DEV000092,IMEI900136049396,1,1,Delhi,1,2023-09-22,2024-03-05
DEV000093,IMEI840665727224,1,1,Delhi,0,2023-07-21,2024-06-11
DEV000094,IMEI461444687015,1,1,Tamil Nadu,0,2023-07-15,2024-03-29
DEV000095,IMEI373765033438,1,1,Maharashtra,0,2023-03-03,2024-10-25
DEV000096,IMEI782101356268,1,1,Maharashtra,1,2023-03-20,2024-01-01
DEV000097,IMEI250416555386,1,1,Maharashtra,0,2023-02-04,2024-06-18
DEV000098,IMEI291279805981,1,1,Telangana,0,2023-01-28,2024-05-15
DEV000099,IMEI291515456047,1,1,Karnataka,0,2023-02-12,2024-03-10
DEV000100,IMEI772132672975,1,1,Delhi,0,2023-06-23,2024-01-12
DEV000101,IMEI700460090184,1,1,Rajasthan,0,2023-07-28,2024-10-05
DEV000102,IMEI891584159322,1,1,Uttar Pradesh,1,2023-10-22,2024-10-14
DEV000103,IMEI163376571794,1,1,Tamil Nadu,0,2023-03-22,2024-02-21
DEV000104,IMEI967788769166,1,2,Andhra Pradesh,1,2023-07-10,2024-03-01
DEV000105,IMEI143510838053,1,1,Uttar Pradesh,0,2023-04-06,2024-05-15
DEV000106,IMEI249212828955,1,1,Maharashtra,0,2023-04-01,2024-03-20
DEV000107,IMEI850146569179,1,1,Karnataka,0,2023-07-28,2024-08-01
DEV000108,IMEI192163995059,1,1,Uttar Pradesh,0,2023-02-26,2024-10-23
DEV000109,IMEI56539416068,1,1,West Bengal,0,2023-07-26,2024-03-27
DEV000110,IMEI552574378736,1,1,Andhra Pradesh,0,2023-07-31,2024-05-11
DEV000111,IMEI437100447205,1,1,Telangana,0,2023-01-06,2024-06-18
DEV000112,IMEI106204747918,1,1,Rajasthan,0,2023-03-11,2024-09-20
DEV000113,IMEI186170185621,1,1,Andhra Pradesh,1,2023-06-18,2024-06-09
DEV000114,IMEI949871943315,1,1,Uttar Pradesh,0,2023-01-23,2024-10-16
DEV000115,IMEI34833217020,1,1,Rajasthan,0,2023-05-02,2024-05-21
DEV000116,IMEI11517534197,1,1,Delhi,0,2023-09-22,2024-09-25
DEV000117,IMEI394710804273,1,1,Rajasthan,1,2023-02-28,2024-09-16
DEV000118,IMEI354004749941,1,1,Karnataka,0,2023-06-09,2024-07-26
DEV000119,IMEI134263773372,1,1,Maharashtra,0,2023-09-11,2024-01-29
DEV000120,IMEI267892828115,1,1,Uttar Pradesh,0,2023-09-11,2024-03-15
DEV000121,IMEI536298216810,1,1,Tamil Nadu,0,2023-08-17,2024-03-18
DEV000122,IMEI398276969642,1,1,Andhra Pradesh,0,2023-09-06,2024-06-07
DEV000123,IMEI385918196766,1,1,Rajasthan,0,2023-05-29,2024-01-29
DEV000124,IMEI971667220191,1,1,Maharashtra,0,2023-02-08,2024-03-30
DEV000125,IMEI797531051889,1,1,Delhi,0,2023-02-05,2024-08-10
DEV000126,IMEI627137450638,1,1,Tamil Nadu,0,2023-02-02,2024-01-05
DEV000127,IMEI128984234174,1,1,Uttar Pradesh,0,2023-07-23,2024-01-10
DEV000128,IMEI267993244781,1,1,Maharashtra,0,2023-08-10,2024-06-24
DEV000129,IMEI617810237969,1,1,Karnataka,1,2023-09-26,2024-09-18
DEV000130,IMEI244298876945,1,1,West Bengal,0,2023-05-23,2024-01-03
DEV000131,IMEI310744836734,1,1,Karnataka,0,2023-07-16,2024-10-20
DEV000132,IMEI951450717895,1,1,Delhi,0,2023-05-21,2024-03-20
DEV000133,IMEI179892882804,1,1,Gujarat,0,2023-03-28,2024-02-08
DEV000134,IMEI202380532448,1,1,Karnataka,0,2023-10-01,2024-02-10
DEV000135,IMEI816157798556,1,1,West Bengal,0,2023-04-26,2024-05-10
DEV000136,IMEI546331636692,1,1,West Bengal,0,2023-02-02,2024-01-06
DEV000137,IMEI373972944213,1,1,Uttar Pradesh,1,2023-09-08,2024-01-14
DEV000138,IMEI209858010567,1,1,Delhi,0,2023-09-29,2024-09-27
DEV000139,IMEI390391436855,1,1,Karnataka,1,2023-04-22,2024-07-29
DEV000140,IMEI60233743233,1,1,Karnataka,0,2023-04-05,2024-05-30
DEV000141,IMEI760649911175,1,1,Maharashtra,0,2023-07-04,2024-03-07
DEV000142,IMEI486898861948,1,1,Telangana,0,2023-08-19,2024-08-10
DEV000143,IMEI145805450528,1,1,Delhi,1,2023-07-22,2024-06-17
DEV000144,IMEI590556109745,1,1,Maharashtra,0,2023-01-16,2024-09-22
DEV000145,IMEI591658784390,1,1,Karnataka,1,2023-09-24,2024-01-30
DEV000146,IMEI495358750771,1,1,Rajasthan,0,2023-01-02,2024-10-14
DEV000147,IMEI980519441565,1,1,Uttar Pradesh,0,2023-09-26,2024-04-17
DEV000148,IMEI642391590340,1,1,Maharashtra,0,2023-04-10,2024-05-30
DEV000149,IMEI249506545174,1,1,Tamil Nadu,0,2023-05-31,2024-09-01
DEV000150,IMEI481550308454,1,1,West Bengal,0,2023-04-06,2024-10-22
DEV000151,IMEI513403691050,1,1,Uttar Pradesh,0,2023-03-19,2024-04-11
DEV000152,IMEI158107826789,1,1,Telangana,0,2023-04-13,2024-06-18
DEV000153,IMEI393463234403,1,2,Andhra Pradesh,0,2023-07-17,2024-05-14
DEV000154,IMEI172089056293,1,1,Uttar Pradesh,0,2023-05-01,2024-09-23
DEV000155,IMEI902648765573,1,1,Gujarat,0,2023-02-14,2024-01-20
DEV000156,IMEI321497987992,1,1,Karnataka,0,2023-03-25,2024-04-02
DEV000157,IMEI27278946054,1,1,Telangana,0,2023-06-16,2024-07-28
DEV000158,IMEI533547999494,1,1,Telangana,0,2023-06-01,2024-09-21
DEV000159,IMEI607741956260,1,1,Delhi,0,2023-04-15,2024-07-23
DEV000160,IMEI746811580166,1,1,Maharashtra,0,2023-09-29,2024-05-21
DEV000161,IMEI465980589027,1,1,Andhra Pradesh,1,2023-02-07,2024-08-07
DEV000162,IMEI419203198358,1,1,Karnataka,0,2023-05-28,2024-01-19
DEV000163,IMEI905687445157,1,1,Uttar Pradesh,0,2023-07-20,2024-02-07
DEV000164,IMEI656910270849,1,1,Maharashtra,1,2023-05-10,2024-06-27
DEV000165,IMEI848186127059,1,1,Telangana,0,2023-02-28,2024-01-01
DEV000166,IMEI548516041235,1,1,Telangana,0,2023-06-30,2024-06-22
DEV000167,IMEI668878444912,1,2,Maharashtra,1,2023-09-05,2024-06-17
DEV000168,IMEI771824672374,1,1,Delhi,0,2023-09-09,2024-06-19
DEV000169,IMEI276489705731,1,1,Uttar Pradesh,0,2023-03-14,2024-06-29
DEV000170,IMEI873123268104,1,1,Telangana,0,2023-02-26,2024-06-18
DEV000171,IMEI330996017410,1,1,Uttar Pradesh,0,2023-08-11,2024-07-09
DEV000172,IMEI720316596665,1,1,Gujarat,0,2023-08-07,2024-02-03
DEV000173,IMEI447900932991,1,1,Karnataka,1,2023-03-21,2024-03-26
DEV000174,IMEI359645930850,1,1,West Bengal,0,2023-10-04,2024-02-21
DEV000175,IMEI366739109085,1,1,Maharashtra,1,2023-04-23,2024-04-07
DEV000176,IMEI51276213409,1,1,Karnataka,0,2023-08-08,2024-09-11
DEV000177,IMEI154683981446,1,1,Maharashtra,0,2023-04-07,2024-04-26
DEV000178,IMEI861759759989,1,1,West Bengal,1,2023-02-08,2024-03-10
DEV000179,IMEI357564465789,1,1,Rajasthan,0,2023-04-01,2024-03-29
DEV000180,IMEI969747873178,1,1,Telangana,0,2023-06-04,2024-07-14
DEV000181,IMEI741764166983,1,1,Andhra Pradesh,0,2023-03-22,2024-08-31
DEV000182,IMEI864075596270,1,1,Delhi,0,2023-03-02,2024-10-05
DEV000183,IMEI430074818062,1,1,Delhi,1,2023-02-23,2024-01-01
DEV000184,IMEI476136657709,1,1,Uttar Pradesh,0,2023-01-30,2024-08-29
DEV000185,IMEI630694026334,1,1,Maharashtra,0,2023-02-20,2024-09-10
DEV000186,IMEI669884516074,1,1,Rajasthan,0,2023-02-15,2024-08-23
DEV000187,IMEI382035385968,1,1,Rajasthan,0,2023-01-13,2024-09-03
DEV000188,IMEI664848160702,1,1,Telangana,0,2023-07-10,2024-04-27
DEV000189,IMEI529649792281,1,1,Karnataka,0,2023-08-08,2024-10-13
DEV000190,IMEI763806560499,1,1,Karnataka,0,2023-08-15,2024-01-12
DEV000191,IMEI330787884397,1,2,Gujarat,0,2023-09-27,2024-09-29
DEV000192,IMEI77559286254,1,1,Rajasthan,0,2023-10-28,2024-09-05
DEV000193,IMEI698408948175,1,1,Rajasthan,0,2023-08-26,2024-09-04
DEV000194,IMEI802383748941,1,1,Andhra Pradesh,0,2023-07-26,2024-08-28
DEV000195,IMEI715910719605,1,1,Telangana,0,2023-07-05,2024-01-26
DEV000196,IMEI169805624018,1,1,Maharashtra,0,2023-08-07,2024-09-10
DEV000197,IMEI801365370742,1,1,Uttar Pradesh,1,2023-04-30,2024-07-08
DEV000198,IMEI871294988025,1,1,Rajasthan,0,2023-09-08,2024-05-28
DEV000199,IMEI95118383040,1,1,Maharashtra,0,2023-06-23,2024-01-02
DEV000200,IMEI594716657425,1,1,Maharashtra,0,2023-04-10,2024-07-16
DEV000201,IMEI439909547818,1,1,Uttar Pradesh,1,2023-06-24,2024-04-10
DEV000202,IMEI701320463397,1,1,Delhi,0,2023-04-04,2024-05-31
DEV000203,IMEI891641526846,1,1,Gujarat,0,2023-04-14,2024-10-13
DEV000204,IMEI970165312614,1,1,Telangana,0,2023-05-14,2024-06-12
DEV000205,IMEI932803558505,1,1,Uttar Pradesh,0,2023-08-23,2024-02-29
DEV000206,IMEI305130443992,1,1,Gujarat,0,2023-02-18,2024-07-15
DEV000207,IMEI663736989371,1,1,Uttar Pradesh,0,2023-04-08,2024-08-29
DEV000208,IMEI24282815042,1,1,Karnataka,0,2023-01-29,2024-05-04
DEV000209,IMEI925445346014,1,1,Gujarat,0,2023-10-22,2024-06-27
DEV000210,IMEI450034273110,1,1,Telangana,0,2023-05-09,2024-09-13
DEV000211,IMEI921136435195,1,1,Rajasthan,0,2023-04-12,2024-03-31
DEV000212,IMEI223903063473,1,1,Telangana,0,2023-06-09,2024-10-19
DEV000213,IMEI393613193304,1,1,Delhi,0,2023-04-16,2024-08-05
DEV000214,IMEI856669226041,1,1,Maharashtra,0,2023-08-17,2024-10-20
DEV000215,IMEI450808471908,1,7,Karnataka,0,2023-03-24,2024-02-21
DEV000216,IMEI508390679235,1,1,Uttar Pradesh,1,2023-08-14,2024-03-17
DEV000217,IMEI571448432039,1,1,Uttar Pradesh,0,2023-04-15,2024-10-19
DEV000218,IMEI150872073968,1,1,West Bengal,1,2023-06-03,2024-07-14
DEV000219,IMEI354438298829,1,1,Tamil Nadu,0,2023-03-17,2024-08-17
DEV000220,IMEI779054686145,1,1,Rajasthan,0,2023-07-28,2024-01-23
DEV000221,IMEI303557943403,1,1,Telangana,0,2023-03-27,2024-10-09
DEV000222,IMEI359981906170,1,1,Andhra Pradesh,0,2023-01-01,2024-06-04
DEV000223,IMEI728441912003,1,1,Delhi,0,2023-04-12,2024-01-11
DEV000224,IMEI95571047429,1,1,Delhi,0,2023-07-26,2024-04-30
DEV000225,IMEI620041723186,1,1,Delhi,0,2023-09-18,2024-02-03
DEV000226,IMEI243312014096,1,1,Uttar Pradesh,0,2023-09-10,2024-08-21
DEV000227,IMEI124663408923,1,1,Gujarat,0,2023-10-05,2024-02-02
DEV000228,IMEI526403332108,1,1,Karnataka,0,2023-09-01,2024-01-11
DEV000229,IMEI735777068196,1,1,Maharashtra,0,2023-04-16,2024-02-17
DEV000230,IMEI854395190817,1,1,Telangana,1,2023-07-05,2024-02-09
DEV000231,IMEI315502176625,1,1,Uttar Pradesh,0,2023-09-14,2024-10-25
DEV000232,IMEI914189464813,1,1,West Bengal,0,2023-08-07,2024-10-04
DEV000233,IMEI783648075131,1,1,West Bengal,0,2023-08-04,2024-09-02
DEV000234,IMEI121472226556,4,2,Rajasthan,0,2023-07-14,2024-09-08
DEV000235,IMEI309817320521,1,1,Karnataka,0,2023-02-14,2024-04-27
DEV000236,IMEI245398560934,1,1,West Bengal,1,2023-07-01,2024-07-24
DEV000237,IMEI713546056208,1,1,Tamil Nadu,0,2023-03-27,2024-03-15
DEV000238,IMEI74673409272,1,1,West Bengal,0,2023-09-27,2024-10-27
DEV000239,IMEI764810444412,1,1,West Bengal,0,2023-03-10,2024-05-02
DEV000240,IMEI571813461273,1,1,Rajasthan,0,2023-09-06,2024-02-02
DEV000241,IMEI459007330262,1,1,Karnataka,0,2023-01-21,2024-07-20
DEV000242,IMEI96584830994,1,1,Karnataka,1,2023-05-29,2024-03-24
DEV000243,IMEI623538490474,1,1,Rajasthan,0,2023-06-11,2024-10-10
DEV000244,IMEI872604635066,1,1,Karnataka,0,2023-04-21,2024-10-22
DEV000245,IMEI470191779445,1,1,Uttar Pradesh,0,2023-03-04,2024-09-23
DEV000246,IMEI267007587881,1,1,Delhi,0,2023-01-16,2024-09-05
DEV000247,IMEI121364629793,1,1,West Bengal,0,2023-04-30,2024-03-09
DEV000248,IMEI985043594146,1,1,Gujarat,1,2023-10-15,2024-01-16
DEV000249,IMEI475337814229,1,1,Delhi,0,2023-08-26,2024-02-11
DEV000250,IMEI189412843031,1,1,Maharashtra,0,2023-09-29,2024-09-29
DEV000251,IMEI155241913430,1,1,Telangana,0,2023-06-07,2024-07-30
DEV000252,IMEI23895137414,1,1,West Bengal,1,2023-08-07,2024-02-14
DEV000253,IMEI15700376123,1,1,Maharashtra,0,2023-03-24,2024-05-18
DEV000254,IMEI177849988007,1,1,Delhi,0,2023-06-22,2024-07-26
DEV000255,IMEI742946467757,1,1,Rajasthan,0,2023-09-15,2024-08-27
DEV000256,IMEI610948983173,1,1,Gujarat,0,2023-07-13,2024-01-14
DEV000257,IMEI456468659553,1,1,Gujarat,0,2023-05-11,2024-08-28
DEV000258,IMEI276368326585,1,1,Gujarat,0,2023-06-07,2024-03-22
DEV000259,IMEI456744083319,1,1,Karnataka,1,2023-01-03,2024-07-13
DEV000260,IMEI51745732121,1,1,Karnataka,0,2023-06-28,2024-05-11
DEV000261,IMEI113174883177,1,1,Andhra Pradesh,0,2023-07-31,2024-04-22
DEV000262,IMEI362706944901,4,2,Andhra Pradesh,0,2023-10-18,2024-07-11
DEV000263,IMEI639890191342,1,1,Rajasthan,0,2023-01-07,2024-08-31
DEV000264,IMEI892477820878,1,1,Rajasthan,1,2023-03-21,2024-07-04
DEV000265,IMEI778379560034,1,1,Delhi,0,2023-07-02,2024-04-03
DEV000266,IMEI884730409237,1,1,Delhi,0,2023-02-08,2024-06-08
DEV000267,IMEI888996376452,1,1,Andhra Pradesh,0,2023-03-26,2024-08-21
DEV000268,IMEI599131903158,1,1,Telangana,0,2023-09-18,2024-07-06
DEV000269,IMEI122708810266,1,1,Gujarat,0,2023-03-04,2024-03-20
DEV000270,IMEI826588945730,1,1,Andhra Pradesh,1,2023-01-02,2024-01-22
DEV000271,IMEI390961769104,1,1,Rajasthan,0,2023-09-03,2024-02-29
DEV000272,IMEI7277782814,1,1,Karnataka,0,2023-01-24,2024-09-12
DEV000273,IMEI134069931086,1,1,Karnataka,0,2023-03-24,2024-09-18
DEV000274,IMEI984288062458,1,1,Maharashtra,0,2023-05-12,2024-02-11
DEV000275,IMEI454316982341,1,1,Delhi,1,2023-07-16,2024-03-16
DEV000276,IMEI220987290562,1,1,Maharashtra,0,2023-01-28,2024-06-22
DEV000277,IMEI257541685758,1,1,Tamil Nadu,1,2023-03-14,2024-06-03
DEV000278,IMEI429514775665,1,1,Delhi,0,2023-04-09,2024-09-17
DEV000279,IMEI991531499335,1,1,Karnataka,0,2023-01-22,2024-01-27
DEV000280,IMEI256404131987,1,1,Telangana,1,2023-01-05,2024-09-01
DEV000281,IMEI146111830564,1,1,Maharashtra,1,2023-09-13,2024-02-21
DEV000282,IMEI913479748734,1,1,Maharashtra,0,2023-07-20,2024-10-04
DEV000283,IMEI330480131806,1,1,Andhra Pradesh,1,2023-08-17,2024-07-31
DEV000284,IMEI722110938771,1,1,Karnataka,0,2023-08-18,2024-01-19
DEV000285,IMEI319765514785,1,1,Maharashtra,1,2023-04-30,2024-02-20
DEV000286,IMEI728666428869,1,1,Delhi,0,2023-04-19,2024-03-09
DEV000287,IMEI405677153298,1,1,Andhra Pradesh,0,2023-05-30,2024-08-06
DEV000288,IMEI292300837572,1,1,Uttar Pradesh,0,2023-09-12,2024-07-25
DEV000289,IMEI942975229886,1,1,Telangana,0,2023-06-16,2024-09-16
DEV000290,IMEI771283421967,1,1,Maharashtra,0,2023-02-11,2024-08-26
DEV000291,IMEI762859138860,1,1,Maharashtra,1,2023-05-27,2024-09-13
DEV000292,IMEI255692834488,1,1,Delhi,1,2023-06-12,2024-05-12
DEV000293,IMEI716653262015,1,1,Delhi,0,2023-06-26,2024-05-26
DEV000294,IMEI229489309102,1,1,Telangana,0,2023-09-24,2024-08-20
DEV000295,IMEI842564478225,1,1,Gujarat,0,2023-03-19,2024-06-18
DEV000296,IMEI166630851991,1,1,West Bengal,1,2023-02-16,2024-06-08
DEV000297,IMEI375543505268,1,1,Delhi,0,2023-02-08,2024-02-02
DEV000298,IMEI155667156180,1,1,Karnataka,0,2023-03-12,2024-05-23
DEV000299,IMEI28116273529,1,1,Andhra Pradesh,0,2023-08-18,2024-10-14
DEV000300,IMEI911391442774,1,1,Karnataka,0,2023-10-13,2024-08-17
DEV000301,IMEI55917128424,1,1,Tamil Nadu,0,2023-05-17,2024-10-22
DEV000302,IMEI3260620147,1,1,Maharashtra,0,2023-07-04,2024-09-25
DEV000303,IMEI501550849816,1,1,Maharashtra,1,2023-08-14,2024-03-11
DEV000304,IMEI338928475756,1,1,West Bengal,0,2023-04-15,2024-09-01
DEV000305,IMEI999816742584,1,1,Andhra Pradesh,0,2023-09-28,2024-02-06
DEV000306,IMEI693514621005,1,1,Gujarat,1,2023-02-03,2024-02-21
DEV000307,IMEI769178681389,1,1,Tamil Nadu,1,2023-03-03,2024-09-20
DEV000308,IMEI235236518857,1,1,Uttar Pradesh,0,2023-05-21,2024-01-28
DEV000309,IMEI965992068746,1,1,Uttar Pradesh,0,2023-07-14,2024-04-16
DEV000310,IMEI77634656497,1,1,Uttar Pradesh,1,2023-01-17,2024-09-15
DEV000311,IMEI693292793746,1,1,Delhi,0,2023-09-01,2024-10-12
DEV000312,IMEI797291759254,1,1,Gujarat,0,2023-08-04,2024-10-14
DEV000313,IMEI807610315998,1,1,Telangana,0,2023-08-13,2024-09-22
DEV000314,IMEI13874215673,1,1,Karnataka,0,2023-08-11,2024-09-18
DEV000315,IMEI567230342732,1,1,West Bengal,0,2023-06-28,2024-04-23
DEV000316,IMEI604110230534,1,1,Gujarat,0,2023-06-28,2024-06-13
DEV000317,IMEI145364168545,1,1,Delhi,0,2023-06-22,2024-09-06
DEV000318,IMEI453544520454,1,1,Telangana,1,2023-06-10,2024-04-29
DEV000319,IMEI840428587087,1,1,Uttar Pradesh,1,2023-04-11,2024-01-05
DEV000320,IMEI485852185114,1,1,Karnataka,0,2023-04-07,2024-08-01
DEV000321,IMEI899745105735,1,1,Maharashtra,0,2023-08-22,2024-08-01
DEV000322,IMEI818161480087,1,1,Maharashtra,0,2023-01-13,2024-08-16
DEV000323,IMEI681597409139,1,1,Maharashtra,0,2023-10-04,2024-05-01
DEV000324,IMEI170688493500,1,1,Maharashtra,0,2023-08-10,2024-10-08
DEV000325,IMEI592227374332,1,1,Rajasthan,0,2023-04-01,2024-06-05
DEV000326,IMEI64778712895,1,1,Gujarat,1,2023-04-09,2024-07-25
DEV000327,IMEI397184700983,1,1,Tamil Nadu,0,2023-10-10,2024-04-21
DEV000328,IMEI523106466980,1,1,Maharashtra,1,2023-02-22,2024-07-28
DEV000329,IMEI640107364191,1,1,Delhi,0,2023-03-13,2024-08-16
DEV000330,IMEI575273307383,1,1,Tamil Nadu,0,2023-04-26,2024-01-18
